cid,area_poly,osm_points_per_poly,poi_density
193,3599492.0478515625,22,6.111973497241421e-06
297,344632.5251464844,130,0.00037721338096206717
62,2108731.364013672,1,4.7421877298616236e-07
150,845724.0808105469,29,3.4290143390745396e-05
143,1928628.3425292969,45,2.3332644765027572e-05
96,802195.7517089844,443,0.0005522342882722082
290,444862.8359375,12,2.697460662163722e-05
17,966621.1154785156,47,4.862298086332735e-05
231,1568003.7604980469,307,0.00019579034676708124
15,3869038.7861328125,0,0.0
199,1616214.7585449219,1,6.187296550244968e-07
8,1963576.4560546875,74,3.768633493838298e-05
94,2624572.223876953,190,7.239274967230153e-05
111,702079.5288085938,0,0.0
303,2061024.6643066406,39,1.892262653398191e-05
307,700357.8349609375,216,0.00030841376967253805
129,1961017.6135253906,19,9.688847192883203e-06
298,415167.4367675781,39,9.39380031913082e-05
196,2072214.9348144531,235,0.00011340522455072547
227,2020032.3068847656,19,9.405790162485688e-06
77,1150835.8723144531,10,8.689336368954973e-06
219,912446.6938476562,405,0.0004438615458095128
115,2445595.096435547,73,2.984958552885449e-05
40,776552.9912109375,1,1.2877421261884842e-06
70,1053857.046875,12,1.1386743615354259e-05
275,637597.6440429688,7,1.097871057931365e-05
24,808707.9580078125,14,1.7311564528792176e-05
169,4542530.411865234,0,0.0
175,1526323.4404296875,470,0.0003079294909260429
215,965978.0715332031,67,6.935975253936916e-05
271,1207769.0451660156,116,9.604485266804884e-05
72,4135909.26171875,0,0.0
279,1897043.3659667969,12,6.325632937697446e-06
100,963658.4416503906,294,0.0003050873497216365
42,601043.1682128906,176,0.0002928242251273048
306,381759.9992675781,313,0.0008198868414723991
228,1145302.4892578125,87,7.596246477764873e-05
238,688416.2626953125,6,8.715656972583101e-06
224,1656030.0578613281,165,9.963587268040802e-05
161,2815241.5759277344,24,8.525023289374747e-06
178,829216.6953125,26,3.1354892089095715e-05
183,1531503.89453125,147,9.598408500619095e-05
90,1180423.7922363281,59,4.9982049148826234e-05
36,1603627.2302246094,15,9.353794770558398e-06
190,930742.0893554688,12,1.2892937944076324e-05
164,2069508.6879882812,27,1.3046574849727275e-05
67,1985367.9775390625,4,2.0147398594381225e-06
53,1033311.7348632812,26,2.5161816248452935e-05
76,2640563.673095703,25,9.467675502288074e-06
268,1561578.1042480469,2,1.2807556628511184e-06
311,1755426.4770507812,45,2.5634796209524323e-05
241,3233256.8986816406,6,1.8557139713972303e-06
301,685274.7888183594,20,2.9185372534259757e-05
260,1105095.45703125,18,1.628818568158406e-05
106,1523877.6352539062,62,4.068568142590376e-05
221,1561589.8833007812,10,6.40373001063678e-06
73,1536905.7189941406,5,3.2532899957405013e-06
244,1057214.6506347656,164,0.00015512460019498616
283,2021509.4174804688,27,1.335635627839506e-05
51,985083.9108886719,33,3.349968427586009e-05
173,2396776.2399902344,16,6.675633600266828e-06
167,1397590.6979980469,2,1.4310341381527964e-06
34,1323710.1633300781,60,4.5327143102880675e-05
305,660339.0285644531,307,0.00046491269896223455
174,439029.08056640625,1,2.2777534433706902e-06
119,2501732.0727539062,44,1.758781465017747e-05
10,612960.9509277344,97,0.00015824825358481262
113,1113736.4226074219,8,7.183028082417216e-06
280,756900.146484375,13,1.7175317061810564e-05
252,2137419.496826172,77,3.6024748587881955e-05
136,2123511.809814453,42,1.9778557296401307e-05
84,740269.484375,42,5.673609528219316e-05
261,748784.7583007812,16,2.136795630871124e-05
184,807597.98828125,254,0.00031451291816683334
151,975642.5483398438,23,2.3574207622593815e-05
131,515895.7666015625,470,0.0009110367450698451
46,2269215.131591797,18,7.932258052313206e-06
204,1788594.6037597656,1,5.590981868657783e-07
4,866341.8381347656,25,2.885696950042839e-05
281,3715703.643310547,3,8.07384088717882e-07
194,1575903.5031738281,19,1.2056575774934506e-05
50,1321488.6335449219,0,0.0
287,974687.443359375,163,0.00016723309724623242
146,4747890.960205078,32,6.739834648312523e-06
192,1465235.3989257812,3,2.0474525814755854e-06
265,1185821.2192382812,157,0.00013239769828106955
264,1453355.5446777344,112,7.706304242630097e-05
54,1527959.9338378906,0,0.0
235,1655269.9846191406,0,0.0
65,2607941.2954101562,15,5.751663208983743e-06
211,1376074.8239746094,170,0.0001235397937947717
240,2008971.099609375,89,4.4301284382490716e-05
68,3091078.4572753906,28,9.058327178366221e-06
132,3004615.1247558594,35,1.16487465271759e-05
191,979220.6020507812,97,9.905837336025502e-05
258,1784869.0913085938,12,6.723182141723395e-06
97,1353898.6704101562,50,3.693038562838146e-05
236,912272.7978515625,27,2.959641026629977e-05
87,3117169.432373047,14,4.491254102072355e-06
98,3432051.896484375,5,1.4568544272660195e-06
39,493497.7307128906,38,7.700136725067904e-05
263,1041869.8510742188,3,2.8794383453046976e-06
188,1307711.6472167969,53,4.0528812382148554e-05
304,1442878.3596191406,9,6.237532041422828e-06
43,1630812.1569824219,57,3.495191016080609e-05
149,2333062.537841797,50,2.143105861459358e-05
160,1072855.626953125,41,3.821576638083044e-05
125,1565238.5402832031,30,1.916640769308684e-05
251,552223.78125,154,0.00027887245212694287
3,656073.1552734375,22,3.3532845877272425e-05
47,472875.8068847656,44,9.304768685432514e-05
286,795685.6042480469,85,0.00010682611265831337
117,1189556.248046875,21,1.7653641880726338e-05
135,1814306.7653808594,22,1.2125843556220085e-05
289,458301.96484375,42,9.164263568959204e-05
101,2348118.643310547,0,0.0
79,1625205.3837890625,67,4.122555873141017e-05
181,3377685.6518554688,5,1.4803035318734716e-06
234,4339450.493896484,10,2.3044392404211502e-06
232,1396854.8442382812,114,8.161191584811042e-05
262,1064209.1118164062,107,0.00010054414946454554
170,3528638.524658203,34,9.635444311568686e-06
57,3359802.561279297,7,2.0834557603690384e-06
